# Spanish display names for the most-searched foods in the built-in catalogue.
# Format:  <USDA fdcId>,<Spanish name>
# Only the core is translated here; every other food falls back to its English
# (USDA) name. fdcIds refer to USDA FoodData Central SR Legacy — see README.md.
# Regenerate frontend/src/lib/foods-data.js with: node scripts/build-foods.mjs

# --- dairy & eggs ---
171287,"Huevo entero, crudo"
172183,"Clara de huevo, cruda"
172184,"Yema de huevo, cruda"
171265,"Leche entera"
171267,"Leche semidesnatada (2%)"
171269,"Leche desnatada"
171284,"Yogur natural, entero"
173410,"Mantequilla con sal"
170845,"Queso mozzarella"
170848,"Queso parmesano"
170899,"Queso cheddar"
173420,"Queso feta"
173418,"Queso crema"
170859,"Nata para montar"
173443,"Crema agria light"

# --- fats & oils ---
171413,"Aceite de oliva"
171412,"Aceite de coco"
171017,"Aceite de girasol"

# --- bread, grains & cereals ---
167532,"Pan blanco"
172690,"Pan integral"
174916,"Pan de pita integral"
168878,"Arroz blanco, cocido"
168877,"Arroz blanco, crudo"
169751,"Pasta, cocida"
168917,"Quinoa, cocida"
173904,"Copos de avena"

# --- fruit ---
173944,"Plátano"
171689,"Manzana, sin piel"
168202,"Manzana, con piel"
169097,"Naranja"
167762,"Fresas"
171711,"Arándanos"
167765,"Sandía"
169124,"Piña"
169928,"Melocotón"
169118,"Pera"
171705,"Aguacate"
169910,"Mango"
167755,"Frambuesas"
171719,"Cerezas"
169949,"Ciruelas"
168153,"Kiwi"
174683,"Uvas"
168166,"Pasas"
171726,"Dátiles"

# --- vegetables ---
170393,"Zanahoria"
170379,"Brócoli"
168462,"Espinacas"
170000,"Cebolla"
170457,"Tomate"
168409,"Pepino"
170108,"Pimiento rojo"
170427,"Pimiento verde"
169251,"Champiñones"
169986,"Coliflor"
169975,"Col"
169988,"Apio"
169228,"Berenjena"
168389,"Espárragos"
169230,"Ajo"
169998,"Maíz dulce"
170419,"Guisantes"
170434,"Patata al horno"
168484,"Boniato, cocido"

# --- meat, poultry & fish ---
174036,"Carne picada de ternera (20% grasa)"
174030,"Carne picada de ternera (10% grasa)"
171505,"Pavo picado, crudo"
171496,"Pechuga de pavo, asada"
171077,"Pechuga de pollo, cruda"
171955,"Bacalao, crudo"
175176,"Tilapia, cruda"
173706,"Atún fresco, crudo"
173708,"Atún en aceite (lata)"
175175,"Salmón rosado (lata)"
173686,"Salmón, crudo"
175179,"Gambas, crudas"

# --- legumes, nuts & seeds ---
172420,"Lentejas, crudas"
175254,"Lentejas, cocidas"
173756,"Garbanzos, secos"
173800,"Garbanzos (conserva)"
175237,"Alubias negras, cocidas"
173741,"Alubias rojas (conserva)"
172475,"Tofu firme"
174289,"Hummus"
172430,"Cacahuetes"
172458,"Crema de cacahuete"
170567,"Almendras"
170187,"Nueces"
170162,"Anacardos"
170184,"Pistachos"
170554,"Semillas de chía"
170562,"Pipas de girasol"
170169,"Coco"

# --- sweets & condiments ---
169655,"Azúcar"
168833,"Azúcar moreno"
169640,"Miel"
170272,"Chocolate negro (60-69%)"
169593,"Cacao en polvo"
172234,"Mostaza"
174278,"Salsa de soja"
173469,"Vinagre de manzana"
173468,"Sal"
